Temp,Pressure,humidity,gas,lyd,lys
23.72,1003.09,32.34,49.33,270,767,2023-11-13 14:11:23.953343
23.72,1003.10,32.36,49.44,268,767,2023-11-13 14:11:25.321432
23.72,1003.10,32.35,49.33,268,767,2023-11-13 14:11:26.693387
23.72,1003.10,32.35,49.59,268,767,2023-11-13 14:11:28.065316
23.73,1003.10,32.37,49.68,270,766,2023-11-13 14:11:29.437522
23.73,1003.10,32.38,49.73,268,767,2023-11-13 14:11:30.809235
23.74,1003.11,32.37,49.79,269,768,2023-11-13 14:11:32.181198
23.75,1003.10,32.40,49.97,268,767,2023-11-13 14:11:33.553109
23.76,1003.10,32.41,49.97,266,767,2023-11-13 14:11:34.925101
23.76,1003.11,32.44,50.24,269,767,2023-11-13 14:11:36.297085
23.77,1003.11,32.43,50.42,268,767,2023-11-13 14:11:37.665204
23.77,1003.10,32.43,50.57,268,767,2023-11-13 14:11:39.037401
23.78,1003.11,32.42,50.60,268,767,2023-11-13 14:11:40.409086
23.78,1003.11,32.41,50.66,267,767,2023-11-13 14:11:41.781097
23.79,1003.11,32.40,50.72,267,767,2023-11-13 14:11:43.153016
23.79,1003.11,32.36,50.85,268,767,2023-11-13 14:11:44.525017
23.79,1003.11,32.37,51.06,268,767,2023-11-13 14:11:45.896947
23.80,1003.10,32.36,50.94,268,767,2023-11-13 14:11:47.268955
23.80,1003.10,32.37,51.19,266,767,2023-11-13 14:11:48.640993
23.81,1003.10,32.37,51.16,267,767,2023-11-13 14:11:50.009068
23.81,1003.10,32.37,51.16,268,767,2023-11-13 14:11:51.381043
23.82,1003.10,32.36,51.31,268,767,2023-11-13 14:11:52.753031
23.82,1003.10,32.38,51.47,268,767,2023-11-13 14:11:54.125035
23.83,1003.11,32.35,51.60,267,767,2023-11-13 14:11:55.496924
23.83,1003.10,32.34,51.72,268,767,2023-11-13 14:11:56.869113
23.83,1003.10,32.34,51.88,267,767,2023-11-13 14:11:58.240926
23.84,1003.10,32.32,52.01,268,767,2023-11-13 14:11:59.612867
23.84,1003.11,32.28,52.14,268,767,2023-11-13 14:12:00.984893
23.84,1003.11,32.27,52.14,266,766,2023-11-13 14:12:02.352996
23.84,1003.11,32.25,52.33,268,767,2023-11-13 14:12:03.724993
23.85,1003.11,32.22,52.53,267,767,2023-11-13 14:12:05.096938
23.85,1003.10,32.22,52.40,272,767,2023-11-13 14:12:06.468973
23.85,1003.10,32.18,52.50,270,767,2023-11-13 14:12:07.840893
23.86,1003.10,32.19,52.66,269,767,2023-11-13 14:12:09.212900
23.86,1003.09,32.20,52.53,268,767,2023-11-13 14:12:10.584861
23.86,1003.09,32.19,52.99,268,767,2023-11-13 14:12:11.957012
23.86,1003.09,32.20,52.96,268,767,2023-11-13 14:12:13.328913
23.87,1003.09,32.19,52.93,268,767,2023-11-13 14:12:14.697062
23.87,1003.09,32.18,52.93,272,767,2023-11-13 14:12:16.068987
23.87,1003.09,32.17,53.23,269,767,2023-11-13 14:12:17.440987
23.87,1003.09,32.15,53.47,267,768,2023-11-13 14:12:18.812949
23.87,1003.09,32.16,53.26,267,767,2023-11-13 14:12:20.184902
23.87,1003.10,32.14,53.43,267,767,2023-11-13 14:12:21.557187
23.88,1003.10,32.14,53.50,266,767,2023-11-13 14:12:22.928861
23.88,1003.10,32.13,53.64,266,768,2023-11-13 14:12:24.300957
23.89,1003.10,32.15,53.57,267,767,2023-11-13 14:12:25.672897
23.89,1003.09,32.15,53.77,267,767,2023-11-13 14:12:27.041055
23.90,1003.09,32.17,53.57,267,768,2023-11-13 14:12:28.413038
23.90,1003.09,32.18,53.91,269,767,2023-11-13 14:12:29.784999
23.91,1003.08,32.19,53.74,268,767,2023-11-13 14:12:31.156996
23.91,1003.09,32.22,54.05,267,767,2023-11-13 14:12:32.528972
23.91,1003.08,32.23,53.98,268,767,2023-11-13 14:12:33.900958
23.92,1003.08,32.24,53.88,265,767,2023-11-13 14:12:35.272903
23.92,1003.09,32.25,54.12,267,767,2023-11-13 14:12:36.644936
23.92,1003.09,32.22,54.26,271,767,2023-11-13 14:12:38.016945
23.92,1003.09,32.22,54.54,268,767,2023-11-13 14:12:39.385222
23.93,1003.09,32.20,54.54,267,768,2023-11-13 14:12:40.757096
23.93,1003.09,32.20,54.44,268,768,2023-11-13 14:12:42.129026
23.94,1003.09,32.18,54.58,268,767,2023-11-13 14:12:43.501041
23.95,1003.09,32.17,54.65,266,767,2023-11-13 14:12:44.873006
23.95,1003.10,32.17,54.97,268,768,2023-11-13 14:12:46.245022
23.96,1003.09,32.16,54.76,265,767,2023-11-13 14:12:47.616961
23.96,1003.08,32.13,54.90,269,768,2023-11-13 14:12:48.988978
23.96,1003.08,32.11,55.01,267,768,2023-11-13 14:12:50.361008
23.97,1003.08,32.07,55.11,268,767,2023-11-13 14:12:51.729113
23.97,1003.08,32.05,55.29,266,767,2023-11-13 14:12:53.101126
23.97,1003.09,32.01,54.86,267,767,2023-11-13 14:12:54.473334
23.98,1003.08,32.01,55.33,267,767,2023-11-13 14:12:55.845123
23.99,1003.08,32.05,55.19,266,766,2023-11-13 14:12:57.217125
23.99,1003.07,32.10,55.22,275,768,2023-11-13 14:12:58.589083
24.00,1003.06,32.15,55.22,266,766,2023-11-13 14:12:59.961050
24.00,1003.07,32.20,54.97,266,768,2023-11-13 14:13:01.333073
24.01,1003.07,32.23,55.33,266,767,2023-11-13 14:13:02.705107
24.01,1003.07,32.26,55.29,268,768,2023-11-13 14:13:04.073198
24.02,1003.07,32.26,55.44,268,768,2023-11-13 14:13:05.445249
24.02,1003.07,32.27,55.51,264,768,2023-11-13 14:13:06.817176
24.03,1003.07,32.27,55.51,268,768,2023-11-13 14:13:08.189187
24.03,1003.06,32.27,55.77,267,767,2023-11-13 14:13:09.561241
24.04,1003.07,32.27,55.62,268,767,2023-11-13 14:13:10.933346
24.04,1003.06,32.25,56.00,266,766,2023-11-13 14:13:12.305258
24.05,1003.06,32.24,55.74,266,767,2023-11-13 14:13:13.677260
24.05,1003.06,32.21,55.74,266,767,2023-11-13 14:13:15.049166
24.06,1003.07,32.18,55.85,268,768,2023-11-13 14:13:16.417508
24.06,1003.06,32.17,55.81,267,768,2023-11-13 14:13:17.789333
24.07,1003.05,32.15,55.92,267,767,2023-11-13 14:13:19.161393
24.07,1003.06,32.14,55.77,267,767,2023-11-13 14:13:20.533294
24.08,1003.05,32.12,56.03,267,767,2023-11-13 14:13:21.905399
24.08,1003.06,32.12,56.41,267,767,2023-11-13 14:13:23.277427
24.09,1003.06,32.11,56.29,266,767,2023-11-13 14:13:24.649326
24.09,1003.06,32.10,56.37,268,767,2023-11-13 14:13:26.021313
24.10,1003.05,32.09,56.14,265,767,2023-11-13 14:13:27.393256
24.11,1003.05,32.10,56.26,267,768,2023-11-13 14:13:28.761375
24.11,1003.05,32.09,56.45,268,768,2023-11-13 14:13:30.133386
